time,poa_global
2020-01-25-12:09:00,820.52
2020-01-25-13:09:00,557.61
2020-01-25-14:09:00,415.13
2020-01-25-15:09:00,30.279999999999998
2020-01-25-16:09:00,0.0
2020-01-25-17:09:00,0.0
2020-01-25-18:09:00,0.0
2020-01-25-19:09:00,0.0
2020-01-25-20:09:00,0.0
2020-01-25-21:09:00,0.0
2020-01-25-22:09:00,0.0
2020-01-25-23:09:00,0.0
2020-01-26-00:09:00,0.0
2020-01-26-01:09:00,0.0
2020-01-26-02:09:00,0.0
2020-01-26-03:09:00,0.0
2020-01-26-04:09:00,0.0
2020-01-26-05:09:00,0.0
2020-01-26-06:09:00,157.34
2020-01-26-07:09:00,426.41999999999996
2020-01-26-08:09:00,190.57
2020-01-26-09:09:00,445.41
2020-01-26-10:09:00,293.9
2020-01-26-11:09:00,275.69
2020-01-26-12:09:00,353.06
2020-01-26-13:09:00,301.84000000000003
2020-01-26-14:09:00,113.1
2020-01-26-15:09:00,18.919999999999998
2020-01-26-16:09:00,0.0
2020-01-26-17:09:00,0.0
2020-01-26-18:09:00,0.0
2020-01-26-19:09:00,0.0
2020-01-26-20:09:00,0.0
2020-01-26-21:09:00,0.0
2020-01-26-22:09:00,0.0
2020-01-26-23:09:00,0.0
2020-01-27-00:09:00,0.0
2020-01-27-01:09:00,0.0
2020-01-27-02:09:00,0.0
2020-01-27-03:09:00,0.0
2020-01-27-04:09:00,0.0
2020-01-27-05:09:00,0.0
2020-01-27-06:09:00,49.760000000000005
2020-01-27-07:09:00,146.06
2020-01-27-08:09:00,192.42999999999998
2020-01-27-09:09:00,164.59
2020-01-27-10:09:00,100.27
2020-01-27-11:09:00,103.11
2020-01-27-12:09:00,62.43
2020-01-27-13:09:00,64.33
2020-01-27-14:09:00,65.27
2020-01-27-15:09:00,3.78
2020-01-27-16:09:00,0.0
2020-01-27-17:09:00,0.0
2020-01-27-18:09:00,0.0
2020-01-27-19:09:00,0.0
2020-01-27-20:09:00,0.0
2020-01-27-21:09:00,0.0
2020-01-27-22:09:00,0.0
2020-01-27-23:09:00,0.0
2020-01-28-00:09:00,0.0
2020-01-28-01:09:00,0.0
2020-01-28-02:09:00,0.0
2020-01-28-03:09:00,0.0
2020-01-28-04:09:00,0.0
2020-01-28-05:09:00,0.0
2020-01-28-06:09:00,172.76999999999998
2020-01-28-07:09:00,460.58000000000004
2020-01-28-08:09:00,709.71
2020-01-28-09:09:00,889.31
2020-01-28-10:09:00,972.92
2020-01-28-11:09:00,970.28
2020-01-28-12:09:00,879.51
2020-01-28-13:09:00,544.1700000000001
2020-01-28-14:09:00,446.29999999999995
2020-01-28-15:09:00,155.77
2020-01-28-16:09:00,0.0
2020-01-28-17:09:00,0.0
2020-01-28-18:09:00,0.0
2020-01-28-19:09:00,0.0
2020-01-28-20:09:00,0.0
2020-01-28-21:09:00,0.0
2020-01-28-22:09:00,0.0
2020-01-28-23:09:00,0.0
2020-01-29-00:09:00,0.0
2020-01-29-01:09:00,0.0
2020-01-29-02:09:00,0.0
2020-01-29-03:09:00,0.0
2020-01-29-04:09:00,0.0
2020-01-29-05:09:00,0.0
2020-01-29-06:09:00,104.06
2020-01-29-07:09:00,369.24
2020-01-29-08:09:00,695.59
2020-01-29-09:09:00,880.63
2020-01-29-10:09:00,808.06
2020-01-29-11:09:00,942.81
2020-01-29-12:09:00,809.25
